Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
To Kill A Mockingbird,,12/13/2018,2018,,Premiere,Play,Shubert Theatre,,,,
Network,,12/6/2018,2018,,Premiere,Play,Cort Theatre,,,,
The Cher Show,,12/3/2018,2018,,Premiere,Musical,Neil Simon Theatre,,,,
The Prom,,11/15/2018,2018,,Revival,Musical,Longacre Theatre,,,,
King Kong,,11/8/2018,2018,,Original Production,Musical,Broadway Theatre,,,,
American Son,1/27/2019,11/4/2018,2018,84,Premiere,Play,Booth Theatre,,,,
Torch Song,2/24/2019,11/1/2018,2018,115,Revival,Play,Hayes Theatre,,,,
The Waverly Gallery,1/27/2019,10/25/2018,2018,94,Revival,Play,John Golden Theatre,,,,
The Ferryman,,10/21/2018,2018,,Premiere,Play,Bernard B. Jacobs Theatre,,,,
The Lifespan of a Fact,1/13/2019,10/18/2018,2018,87,Revival,Play,Studio 54,,,,
The Nap,11/11/2018,9/27/2018,2018,45,Premiere,Play,Samuel J. Friedman Theatre,,,,
Bernhardt/Hamlet,11/18/2018,9/25/2018,2018,54,Premiere,Play,American Airlines Theatre,,,,
Pretty Woman,,8/16/2018,2018,,Original Production,Musical,Nederlander Theatre,,,,
Gettin' the Band Back Together,9/16/2018,8/13/2018,2018,34,Original Production,Musical,Belasco Theatre,,,,
Head Over Heels,,7/26/2018,2018,,Original Production,Musical,Hudson Theatre,,,,
Straight White Men,9/9/2018,7/23/2018,2018,48,Revival,Play,Hayes Theatre,,,,
The Boys in the Band,8/12/2018,5/31/2018,2018,73,Premiere,Play,Booth Theatre,,,,
The Iceman Cometh,7/1/2018,4/26/2018,2018,66,Premiere,Play,Bernard B. Jacobs Theatre,,,,
Saint Joan,6/10/2018,4/25/2018,2018,46,Revival,Play,Samuel J. Friedman Theatre,,,,
Travesties,6/17/2018,4/24/2018,2018,54,Revival,Play,American Airlines Theatre,,,,
Summer: The Donna Summer Musical,,4/23/2018,2018,,Premiere,Musical,Lunt-Fontanne Theatre,,,,
Harry Potter and the Cursed Child,,4/22/2018,2018,,Original Production,Play,Lyric Theatre,,,,
My Fair Lady,,4/19/2018,2018,,Original Production,Musical,Vivian Beaumont Theatre,,,,
Carousel,9/16/2018,4/12/2018,2018,157,Original Production,Musical,Imperial Theatre,,,,
Children of a Lesser God,5/27/2018,4/11/2018,2018,46,Premiere,Play,Studio 54,,,,
Mean Girls,,4/8/2018,2018,,Original Production,Musical,August Wilson Theatre,,,,
Three Tall Women,6/24/2018,3/29/2018,2018,87,Premiere,Play,John Golden Theatre,,,,
Lobby Hero,5/13/2018,3/26/2018,2018,48,Revival,Play,Hayes Theatre,,,,
Angels in America,7/15/2018,3/25/2018,2018,112,Premiere,Play,Neil Simon Theatre,,,,
Frozen,,3/22/2018,2018,,Original Production,Musical,St. James Theatre,,,,
Rocktopia,4/29/2018,3/20/2018,2018,40,Revival,Musical,Broadway Theatre,,,,
Escape to Margaritaville,7/1/2018,3/15/2018,2018,108,Production,Musical,Marquis Theatre,,,,
John Lithgow: Stories By Heart,3/4/2018,1/11/2018,2018,52,Original Production,Play,American Airlines Theatre,,,,
Farinelli and the King,3/25/2018,12/17/2017,2017,98,Revival,Play,Belasco Theatre,,,,
The Children,2/4/2018,12/12/2017,2017,54,Premiere,Play,Samuel J. Friedman Theatre,,,,
SpongeBob SquarePants,9/16/2018,12/4/2017,2017,286,Premiere,Musical,Palace Theatre,,,,
Once On This Island,,12/3/2017,2017,,Premiere,Musical,Circle in the Square,,,,
The Parisian Woman,3/11/2018,11/30/2017,2017,101,Premiere,Play,Hudson Theatre,,,,
Meteor Shower,1/21/2018,11/29/2017,2017,53,Original Production,Play,Booth Theatre,,,,
Home for the Holidays,12/30/2017,11/21/2017,2017,39,Premiere,Musical,August Wilson Theatre,,,,
Latin History For Morons,2/25/2018,11/15/2017,2017,102,Premiere,Play,Studio 54,,,,
The Band's Visit,,11/9/2017,2017,,Premiere,Musical,Ethel Barrymore Theatre,,,,
Junk,1/7/2018,11/2/2017,2017,66,Original Production,Play,Vivian Beaumont Theatre,,,,
M. Butterfly,12/17/2017,10/26/2017,2017,52,Premiere,Play,Cort Theatre,,,,
Springsteen on Broadway,12/15/2018,10/12/2017,2017,429,Premiere,Musical,Walter Kerr Theatre,,,,
Time and the Conways,11/26/2017,10/10/2017,2017,47,,Play,American Airlines Theatre,,,,
Prince of Broadway,10/29/2017,8/24/2017,2017,66,Premiere,Musical,Samuel J. Friedman Theatre,,,,
The Terms of My Surrender,10/22/2017,8/10/2017,2017,73,Premiere,Play,Belasco Theatre,,,,
Marvin's Room,8/27/2017,6/29/2017,2017,59,Revival,Play,American Airlines Theatre,,,,
1984,10/8/2017,6/22/2017,2017,108,Revival,Play,Hudson Theatre,,,,
"A Doll's House, Part 2",9/24/2017,4/27/2017,2017,150,Premiere,Play,John Golden Theatre,,,,
Bandstand,9/17/2017,4/26/2017,2017,144,Premiere,Musical,Bernard B. Jacobs Theatre,,,,
Six Degrees of Separation,6/18/2017,4/25/2017,2017,54,Original Production,Play,Ethel Barrymore Theatre,,,,
Anastasia,,4/24/2017,2017,,Revival,Musical,Broadhurst Theatre,,,,
Charlie and the Chocolate Factory,1/14/2018,4/23/2017,2017,266,Production,Musical,Lunt-Fontanne Theatre,,,,
"Hello, Dolly!",8/25/2018,4/20/2017,2017,492,Premiere,Musical,Shubert Theatre,,,,
The Little Foxes,7/2/2017,4/19/2017,2017,74,,Play,Samuel J. Friedman Theatre,,,,
Indecent,8/6/2017,4/18/2017,2017,110,Revival,Play,Cort Theatre,,,,
Groundhog Day,9/17/2017,4/17/2017,2017,153,Premiere,Musical,August Wilson Theatre,,,,
Oslo,7/16/2017,4/13/2017,2017,94,Premiere,Play,Vivian Beaumont Theatre,,,,
War Paint,11/5/2017,4/6/2017,2017,213,Revival,Musical,Nederlander Theatre,,,,
Present Laughter,7/2/2017,4/5/2017,2017,88,Premiere,Play,St. James Theatre,,,,
Amelie,5/21/2017,4/3/2017,2017,48,Premiere,Musical,Walter Kerr Theatre,,,,
The Play That Goes Wrong,1/6/2019,4/2/2017,2017,644,Premiere,Play,Lyceum Theatre,,,,
Sweat,6/25/2017,3/26/2017,2017,91,Premiere,Play,Studio 54,,,,
Miss Saigon,1/14/2018,3/23/2017,2017,297,Revival,Musical,Broadway Theatre,,,,
The Price,5/14/2017,3/16/2017,2017,59,Revival,Play,American Airlines Theatre,,,,
Come From Away,,3/12/2017,2017,,Revival,Musical,Gerald Schoenfeld Theatre,,,,
The Glass Menagerie,5/21/2017,3/9/2017,2017,73,Revival,Play,Belasco Theatre,,,,
Significant Other,4/23/2017,3/2/2017,2017,52,,Play,Booth Theatre,,,,
Sunday in the Park with George,4/23/2017,2/23/2017,2017,59,Revival,Musical,Hudson Theatre,,,,
Sunset Boulevard,6/25/2017,2/9/2017,2017,136,Original Production,Musical,Palace Theatre,,,,
Jitney,3/12/2017,1/19/2017,2017,52,Revival,Play,Samuel J. Friedman Theatre,,,,
The Present,3/19/2017,1/8/2017,2017,70,Premiere,Play,Ethel Barrymore Theatre,,,,
In Transit,4/16/2017,12/11/2016,2016,126,Premiere,Musical,Circle in the Square,,,,
Dear Evan Hansen,,12/4/2016,2016,,Premiere,Musical,Music Box Theatre,,,,
A Bronx Tale: The Musical,8/19/2018,12/1/2016,2016,626,Revival,Musical,Longacre Theatre,,,,
The Illusionists- Turn of the Century,1/1/2017,11/25/2016,2016,37,Premiere,Special,,,,,
Alton Brown Live: Eat Your Science,11/27/2016,11/22/2016,2016,5,,Play,Ethel Barrymore Theatre,,,,
"Natasha, Pierre and the Great Comet of 1812",9/3/2017,11/14/2016,2016,293,Premiere,Musical,Imperial Theatre,,,,
Kristin Chenoweth: My Love Letter to Broadway,11/13/2016,11/2/2016,2016,11,Original Production,Musical,Lunt-Fontanne Theatre,,,,
Les Liaisons Dangereuses,1/8/2017,10/30/2016,2016,70,Revival,Play,Booth Theatre,,,,
Falsettos,1/8/2017,10/27/2016,2016,73,,Musical,Walter Kerr Theatre,,,,
Frankie Valli and the Four Seasons on Broadway,10/29/2016,10/21/2016,2016,8,Premiere,Special,Lunt-Fontanne Theatre,,,,
The Front Page,1/29/2017,10/20/2016,2016,101,Production,Play,Broadhurst Theatre,,,,
The Cherry Orchard,12/4/2016,10/16/2016,2016,49,Premiere,Play,American Airlines Theatre,,,,
Heisenberg,12/11/2016,10/13/2016,2016,59,Revival,Play,Samuel J. Friedman Theatre,,,,
"Oh, Hello on Broadway",1/22/2017,10/10/2016,2016,104,Premiere,Play,Lyceum Theatre,,,,
Holiday Inn: The New Irving Berlin Musical,1/15/2017,10/6/2016,2016,101,Premiere,Musical,Studio 54,,,,
The Encounter,1/8/2017,9/29/2016,2016,101,Premiere,Play,,,,,
Black to the Future,10/24/2016,9/12/2016,2016,42,Revival,Play,Marquis Theatre,,,,
Cats,12/30/2017,7/31/2016,2016,517,Revival,Musical,Neil Simon Theatre,,,,
Motown the Musical,7/31/2016,7/21/2016,2016,10,Premiere,Musical,Nederlander Theatre,,,,
An Act of God,9/4/2016,6/6/2016,2016,90,Premiere,Play,Booth Theatre,,,,
Cirque du Soleil Paramour,4/16/2017,5/25/2016,2016,326,Premiere,Musical,Lyric Theatre,,,,
Shuffle Along Or The Making of the Musical Sensation of 1921 and All That Followed,7/24/2016,4/28/2016,2016,87,Revival,Musical,Music Box Theatre,,,,
Long Day's Journey Into Night,6/26/2016,4/27/2016,2016,60,Original Production,Play,American Airlines Theatre,,,,
Tuck Everlasting,5/29/2016,4/26/2016,2016,33,Premiere,Musical,Broadhurst Theatre,,,,
Fully Committed,7/31/2016,4/25/2016,2016,97,Premiere,Play,Lyceum Theatre,,,,
Waitress,,4/24/2016,2016,,Premiere,Musical,Brooks Atkinson Theatre,,,,
American Psycho,6/5/2016,4/21/2016,2016,45,Premiere,Musical,Gerald Schoenfeld Theatre,,,,
The Father,6/19/2016,4/14/2016,2016,66,Premiere,Play,Samuel J. Friedman Theatre,,,,
The Crucible,7/17/2016,3/31/2016,2016,108,Revival,Play,Walter Kerr Theatre,,,,
Bright Star,6/26/2016,3/24/2016,2016,94,Revival,Musical,Cort Theatre,,,,
She Loves Me,7/10/2016,3/17/2016,2016,115,Original Production,Musical,Studio 54,,,,
Blackbird,6/11/2016,3/10/2016,2016,93,Original Production,Play,Belasco Theatre,,,,
Disaster!,5/8/2016,3/8/2016,2016,61,Revival,Musical,Nederlander Theatre,,,,
Eclipsed,6/19/2016,3/6/2016,2016,105,Premiere,Play,John Golden Theatre,,,,
Hughie,3/27/2016,2/25/2016,2016,31,Premiere,Play,Booth Theatre,,,,
The Humans,1/15/2017,2/18/2016,2016,332,Premiere,Play,Hayes Theatre,,,,
Our Mother's Brief Affair,3/6/2016,1/20/2016,2016,46,Original Production,Play,Samuel J. Friedman Theatre,,,,
Noises Off,3/6/2016,1/14/2016,2016,52,Original Production,Play,American Airlines Theatre,,,,
Fiddler on the Roof,12/31/2016,12/20/2015,2015,377,Revival,Musical,Broadway Theatre,,,,
The Color Purple,1/8/2017,12/10/2015,2015,395,Original Production,Musical,Bernard B. Jacobs Theatre,,,,
School of Rock,1/20/2019,12/6/2015,2015,1141,Revival,Musical,Winter Garden Theatre,,,,
China Doll,1/31/2016,12/4/2015,2015,58,Original Production,Play,Gerald Schoenfeld Theatre,,,,
The Illusionists,1/3/2016,11/19/2015,2015,45,Revival,Special,Neil Simon Theatre,,,,
Misery,2/14/2016,11/15/2015,2015,91,Revival,Play,Broadhurst Theatre,,,,
A View from the Bridge,2/21/2016,11/12/2015,2015,101,Revival,Play,Lyceum Theatre,,,,
Lord of the Dance: Dangerous Games,1/3/2016,11/10/2015,2015,54,Revival,Special,Lyric Theatre,,,,
Allegiance,2/14/2016,11/8/2015,2015,98,Revival,Musical,Longacre Theatre,,,,
On Your Feet,8/20/2017,11/5/2015,2015,654,Original Production,Musical,Marquis Theatre,,,,
King Charles III,1/31/2016,11/1/2015,2015,91,Premiere,Play,Music Box Theatre,,,,
Therese Raquin,1/3/2016,10/29/2015,2015,66,Revival,Play,Studio 54,,,,
