Show,Avg_Cap,Avg_Gross,
November,0.6351,375848.14,2008
A Behanding In Spokane,0.7453,456500.94,2010
A Bronx Tale,0.5781,277787.75,2008
A Bronx Tale The Musical,0.8544,644140.32,2018
A Catered Affair,0.7286,358515.17,2008
A Chorus Line,0.7157,402990.24,2008
A Christmas Carol,0.938,819397,2001
A Christmas Story,0.8903,1079193.38,2012
A Class Act,0.4619,150491.88,2001
A Day In The Death Of Joe Egg,0.9179,239539.75,2003
A Delicate Balance,0.7459,535010.5,2015
A Doll's House,0.8914,282433.74,1997
A Doll's House Part 2,0.8165,319409.27,2017
A Free Man Of Color,0.596,261437,2011
A Funny Thing Happened On The Way To The Forum,0.72,428654,1998
A Gentleman's Guide To Love And Murder,0.9597,675142,2016
A Life In The Theatre,0.5341,258374.5,2010
A Little More Magic,0.3533,53333.33,1994
A Little Night Music,0.9405,682704,2011
A Man For All Seasons,0.8536,258014,2008
A Midsummer Night's Dream,0.6046,273125.4,1996
A Mom's Life,0.1473,3874.33,1998
A Month In The Country,0.9995,160497,1995
A Moon For The Misbegotten,0.9072,537508,2007
A Moon For The Misbegotten 2000,0.8117,314951.71,2000
A Naked Girl On The Appian Way,0.8165,256878.42,2005
A Night With Janis Joplin,0.63,321508.67,2014
A Raisin In The Sun,1,1083570.73,2014
A Steady Rain,1.009,1166826.31,2009
A Streetcar Named Desire,0.6524,378754.06,2012
A Streetcar Named Desire 1992,0.796,283207,1992
A Streetcar Named Desire 92,0.796,283207,1992
A Tale Of Two Cities,0.5904,387958.5,2008
A Thousand Clowns,0.5698,221552,2001
A Thousand Clowns 1996,0.9894,113312.67,1996
A Time To Kill,0.7424,215070,2013
A Touch Of The Poet,0.8574,353321.6,2006
A View From The Bridge,0.825,476931.25,2016
A View From The Bridge 1997 1998,0.7387,194206.2,1998
A Year With Frog And Toad,0.4349,157856.45,2003
Absurd Person Singular,0.6816,165108.73,2005
Accent On Youth,0.6759,169064.58,2009
Act One,0.6824,366236,2014
After Midnight,0.797,571415.27,2014
After Miss Julie,0.7973,211220.5,2009
After The Fall,0.8463,249873.83,2004
After The Night And The Music,0.661,155831.3,2005
Ah Wilderness,0.7296,156459.27,1998
Aida,0.771,589381.97,2004
Airline Highway,0.7492,152110.5,2015
Aladdin,0.9834,1473155.88,2018
All About Me,0.5412,225749,2010
All My Sons,0.952,709548,2009
All Shook Up,0.722,451484.09,2005
All The Way,0.8038,974636.3,2014
Allegiance,0.7264,445916.43,2016
Alton Brown Live Eat Your Science,0.688,580738,2016
Am Lie,0.8475,482470.55,2017
Amadeus,0.6827,230651.6,2000
Amazing Grace,0.5707,307784.83,2015
American Buffalo,0.5215,184887.5,2008
American Idiot,0.7178,808280.29,2011
American Psycho,0.8744,511589.09,2016
Amour,0.6289,191199.86,2002
Amy's View,0.9341,369448.5,1999
An Act Of God,0.7086,304457.27,2016
An Almost Holy Picture,0.8631,230448.82,2002
An American Daughter,0.7505,180834.4,1997
An American In Paris,0.7048,813381.39,2016
An Enemy Of The People,0.7625,178852.91,2012
An Evening With Jerry Herman,0.3503,60898.5,1998
An Evening With Patti Lupone And Mandy Patinkin,0.645,458246.67,2012
An Ideal Husband,0.5978,179161,1997
