,Week,Year,Gross,Gross_Diff,Pot_Gross,Potential_Gross_Percent,Average_Paid_Ticket,Top_Ticket,Seats_Sold,Total_Seats,Performances,Capacity,Capacity_Diff,Show_Name,,,,
7,2/21/2010,2010,"$455,335 ","$455,335 ","$933,200 ",48.79%,$62.03 ,$200.00 ,7340,8568,8,85.70%,0.00%,A Behanding In Spokane,2010,,,
8,2/28/2010,2010,"$413,686 ","($41,649)","$933,200 ",44.33%,$60.16 ,$200.00 ,6876,8568,8,80.30%,80.30%,A Behanding In Spokane,2010,,,
9,3/7/2010,2010,"$432,187 ","$18,501 ","$933,200 ",46.31%,$55.95 ,$200.00 ,7725,8568,8,90.20%,9.90%,A Behanding In Spokane,2010,,,
10,3/14/2010,2010,"$554,397 ","$122,210 ","$940,690 ",58.94%,$74.69 ,$200.00 ,7423,8568,8,86.60%,-3.60%,A Behanding In Spokane,2010,,,
11,3/21/2010,2010,"$539,372 ","($15,025)","$940,690 ",57.34%,$77.34 ,$200.00 ,6974,8568,8,81.40%,-5.20%,A Behanding In Spokane,2010,,,
12,3/28/2010,2010,"$489,726 ","($49,646)","$940,690 ",52.06%,$78.78 ,$200.00 ,6216,8568,8,72.50%,-8.90%,A Behanding In Spokane,2010,,,
13,4/4/2010,2010,"$524,859 ","$35,133 ","$940,690 ",55.80%,$76.87 ,$200.00 ,6828,8568,8,79.70%,7.20%,A Behanding In Spokane,2010,,,
14,4/11/2010,2010,"$489,587 ","($35,272)","$940,690 ",52.05%,$75.74 ,$200.00 ,6464,8568,8,75.40%,-4.30%,A Behanding In Spokane,2010,,,
15,4/18/2010,2010,"$402,160 ","($87,427)","$940,690 ",42.75%,$75.52 ,$200.00 ,5325,8568,8,62.10%,-13.30%,A Behanding In Spokane,2010,,,
16,4/25/2010,2010,"$415,523 ","$13,363 ","$940,690 ",44.17%,$74.86 ,$200.00 ,5551,8568,8,64.80%,2.70%,A Behanding In Spokane,2010,,,
17,5/2/2010,2010,"$384,849 ","($30,674)","$940,690 ",40.91%,$69.40 ,$200.00 ,5545,8568,8,64.70%,-0.10%,A Behanding In Spokane,2010,,,
18,5/9/2010,2010,"$414,898 ","$30,049 ","$940,690 ",44.11%,$73.17 ,$200.00 ,5670,8568,8,66.20%,1.50%,A Behanding In Spokane,2010,,,
19,5/16/2010,2010,"$432,442 ","$17,544 ","$940,690 ",45.97%,$74.30 ,$200.00 ,5820,8568,8,67.90%,1.70%,A Behanding In Spokane,2010,,,
20,5/23/2010,2010,"$442,947 ","$10,505 ","$940,690 ",47.09%,$71.03 ,$200.00 ,6236,8568,8,72.80%,4.90%,A Behanding In Spokane,2010,,,
21,5/30/2010,2010,"$428,934 ","($14,013)","$940,690 ",45.60%,$72.26 ,$200.00 ,5936,8568,8,69.30%,-3.50%,A Behanding In Spokane,2010,,,
22,6/6/2010,2010,"$483,113 ","$54,179 ","$940,690 ",51.36%,$77.40 ,$200.00 ,6242,8568,8,72.90%,3.60%,A Behanding In Spokane,2010,,,
7,1/6/2008,2008,"$259,101 ","($61,485)","$599,676 ",43.21%,$73.90 ,$251.50 ,3506,7592,8,46.20%,-11.20%,A Bronx Tale,2008,,,
8,1/13/2008,2008,"$294,854 ","$35,753 ","$524,507 ",56.22%,$76.99 ,$251.50 ,3830,6643,7,57.70%,11.50%,A Bronx Tale,2008,,,
9,1/20/2008,2008,"$268,671 ","($26,183)","$524,507 ",51.22%,$71.00 ,$251.50 ,3784,6643,7,57.00%,-0.70%,A Bronx Tale,2008,,,
10,1/27/2008,2008,"$271,505 ","$2,834 ","$524,507 ",51.76%,$69.98 ,$251.50 ,3880,6643,7,58.40%,1.40%,A Bronx Tale,2008,,,
11,2/3/2008,2008,"$233,266 ","($38,239)","$524,507 ",44.47%,$67.57 ,$251.50 ,3452,6643,7,52.00%,-6.40%,A Bronx Tale,2008,,,
12,2/10/2008,2008,"$257,830 ","$24,564 ","$524,507 ",49.16%,$68.41 ,$251.50 ,3769,6643,7,56.70%,4.70%,A Bronx Tale,2008,,,
13,2/17/2008,2008,"$317,358 ","$59,528 ","$599,676 ",52.92%,$66.37 ,$251.50 ,4782,7592,8,63.00%,6.30%,A Bronx Tale,2008,,,
14,2/24/2008,2008,"$319,717 ","$2,359 ","$599,676 ",53.32%,$67.28 ,$251.50 ,4752,6643,7,71.50%,8.50%,A Bronx Tale,2008,,,
7,1/7/2018,2018,"$770,784 ","($474,010)","$921,066 ",83.68%,$99.44 ,$225.00 ,7751,8352,8,92.80%,-3.40%,A Bronx Tale The Musical,2018,,,
8,1/14/2018,2018,"$830,344 ","$59,560 ","$932,228 ",89.07%,$104.34 ,$250.00 ,7958,8352,8,95.30%,2.50%,A Bronx Tale The Musical,2018,,,
9,1/21/2018,2018,"$726,004 ","($104,340)","$921,066 ",78.82%,$96.54 ,$250.00 ,7520,8352,8,90.00%,-5.30%,A Bronx Tale The Musical,2018,,,
10,1/28/2018,2018,"$748,029 ","$22,025 ","$921,066 ",81.21%,$95.78 ,$250.00 ,7810,8352,8,93.50%,3.50%,A Bronx Tale The Musical,2018,,,
11,2/4/2018,2018,"$683,941 ","($64,088)","$921,066 ",74.26%,$92.95 ,$225.00 ,7358,8352,8,88.10%,-5.40%,A Bronx Tale The Musical,2018,,,
12,2/11/2018,2018,"$607,940 ","($76,001)","$921,066 ",66.00%,$93.29 ,$225.00 ,6517,8352,8,78.00%,-10.10%,A Bronx Tale The Musical,2018,,,
13,2/18/2018,2018,"$780,480 ","$172,540 ","$932,228 ",83.72%,$100.42 ,$225.00 ,7772,8352,8,93.10%,15.10%,A Bronx Tale The Musical,2018,,,
14,2/25/2018,2018,"$709,918 ","($70,562)","$921,066 ",77.08%,$89.55 ,$225.00 ,7928,8352,8,94.90%,1.80%,A Bronx Tale The Musical,2018,,,
15,3/4/2018,2018,"$570,439 ","($139,479)","$921,066 ",61.93%,$89.13 ,$225.00 ,6400,8352,8,76.60%,-18.30%,A Bronx Tale The Musical,2018,,,
16,3/11/2018,2018,"$592,040 ","$21,601 ","$921,066 ",64.28%,$90.39 ,$225.00 ,6550,8352,8,78.40%,1.80%,A Bronx Tale The Musical,2018,,,
17,3/18/2018,2018,"$653,823 ","$61,783 ","$921,066 ",70.99%,$83.94 ,$225.00 ,7789,8352,8,93.30%,14.90%,A Bronx Tale The Musical,2018,,,
18,3/25/2018,2018,"$599,740 ","($54,083)","$921,066 ",65.11%,$92.72 ,$250.00 ,6468,8352,8,77.40%,-15.90%,A Bronx Tale The Musical,2018,,,
19,4/1/2018,2018,"$710,184 ","$110,444 ","$921,066 ",77.10%,$88.77 ,$225.00 ,8000,8352,8,95.80%,18.40%,A Bronx Tale The Musical,2018,,,
20,4/8/2018,2018,"$757,141 ","$46,957 ","$921,066 ",82.20%,$93.36 ,$225.00 ,8110,8352,8,97.10%,1.30%,A Bronx Tale The Musical,2018,,,
21,4/15/2018,2018,"$597,414 ","($159,727)","$921,066 ",64.86%,$89.18 ,$225.00 ,6699,8352,8,80.20%,-16.90%,A Bronx Tale The Musical,2018,,,
22,4/22/2018,2018,"$582,857 ","($14,557)","$921,066 ",63.28%,$89.71 ,$225.00 ,6497,8352,8,77.80%,-2.40%,A Bronx Tale The Musical,2018,,,
23,4/29/2018,2018,"$596,234 ","$13,377 ","$921,066 ",64.73%,$88.41 ,$225.00 ,6744,8352,8,80.70%,2.90%,A Bronx Tale The Musical,2018,,,
24,5/6/2018,2018,"$469,533 ","($126,701)","$921,066 ",50.98%,$88.69 ,$225.00 ,5294,8352,8,63.40%,-17.30%,A Bronx Tale The Musical,2018,,,
25,5/13/2018,2018,"$593,411 ","$123,878 ","$921,066 ",64.43%,$88.90 ,$225.00 ,6675,8352,8,79.90%,16.50%,A Bronx Tale The Musical,2018,,,
26,5/20/2018,2018,"$618,139 ","$24,728 ","$921,066 ",67.11%,$83.80 ,$225.00 ,7376,8352,8,88.30%,8.40%,A Bronx Tale The Musical,2018,,,
27,5/27/2018,2018,"$628,532 ","$10,393 ","$932,228 ",67.42%,$89.47 ,$225.00 ,7025,8352,8,84.10%,-4.20%,A Bronx Tale The Musical,2018,,,
28,6/3/2018,2018,"$542,167 ","($86,365)","$921,066 ",58.86%,$83.27 ,$225.00 ,6511,8352,8,78.00%,-6.10%,A Bronx Tale The Musical,2018,,,
