,Date_Close,Date_Open,Date_Previews,Intermission,Market,Prod_Type,Run_Time_Minutes,Run_Time_String,Run_Type,Show_Name,Show_Type,Theatre,Theatre_Address
0,1/27/2019,11/4/2018,,,Broadway,Premiere Production,,,Limited Run,American Son,, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule  Before 11/4: Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm  After 11/4: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
1,,,,,Broadway,Premiere Production,,,Unknown,An Enemy of the People,Play,,
2,7/15/2018,3/25/2018,,2,Broadway,Revival Production,,Part 1,Limited Run,Angels in America,Play, Neil Simon Theatre,"         Neil Simon Theatre (New York, NY) 250 W. 52nd St. Seating Chart   Schedule   Running Time: Part 1: 3 hrs & 30 mins; Part 2: 4 hrs Wednesdays: 1:00pm (Part 1) and 7:00pm (Part 2) Thursdays: 7:00pm (Part 1) Fridays: 7:00pm (Part 2) Saturdays: 1:00pm (Part 1) and 7:00pm (Part 2) Sundays: 2:00pm (Part 1 and 2 alternate) "
3,,,,,Broadway,Original Production Production,,,Unknown,August Rush,Musical,,
4,,,,,Broadway,Original Production Production,,,Unknown,Beetlejuice,Musical,,
5,11/18/2018,9/25/2018,,1,Broadway,Premiere Production,140,"Two hours and 20 minutes, with one ",Limited Run,Bernhardt/Hamlet,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Schedule varies. Please check official website for up-to-date information. "
6,9/16/2018,4/12/2018,,1,Broadway,Revival Production,155,"Two hours and 35 minutes, with one ",Open Run,Carousel,Musical, Imperial Theatre,"         Imperial Theatre (Broadway) (New York, NY) 249 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 35 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00 and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
7,,,,,Broadway,Revival Production,,,Unknown,Chess,Musical,,
8,5/27/2018,4/11/2018,,1,Broadway,Revival Production,140,"Two hours and 20 minutes, with one ",Open Run,Children of a Lesser God,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Tuesdays: 8:00pm Wednesdays: 2:00 and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
9,,,,,Broadway,Original Production Production,,,Unknown,Clueless,Musical,,
10,,,,,Broadway,Revival Production,,,Unknown,Crazy for You,Musical,,
11,,,,,Broadway,Original Production Production,,,Unknown,Diana,Musical,,
12,,,,,Broadway,Original Production Production,,,Unknown,Dog Day Afternoon,Play,,
13,,,,,Broadway,Revival Production,,,Open Run,Dreamgirls,Musical,,
14,7/1/2018,3/15/2018,,1,Broadway,Premiere Production,140,"Two hours and 20 minutes, with one ",Open Run,Escape to Margaritaville,Musical, Marquis Theatre,"         Marquis Theatre (New York, NY) 1535 Broadway Seating Chart   Schedule   Running Time: Two hours and 20 minutes, with one intermission Tuesdays: 7:30pm Wednesdays: 7:30pm Thursdays: 7:30pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm and 7:30pm "
15,,,,,Broadway,Original Production Production,,,Unknown,Fingersmith,Play,,
16,,3/22/2018,,1,Broadway,Original Production Production,150,"Two hours and 30 minutes, with one ",Open Run,Frozen,Musical, St. James Theatre,"         St. James Theatre (Broadway) (New York, NY) 246 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 1:00 and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
17,9/16/2018,8/13/2018,,1,Broadway,Premiere Production,145,"Two hours and 25 minutes, with one ",Open Run,Gettin' the Band Back Together,Musical, Belasco Theatre,"         Belasco Theatre (New York, NY) 111 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:30pm and 7:30pm "
18,,,,,Broadway,Premiere Production,,,Open Run,Half Time,Musical,,
19,,4/22/2018,,1,Broadway,Premiere Production,,Part 1,Open Run,Harry Potter and the Cursed Child,Play, Lyric Theatre,"         Lyric Theatre (Broadway) (New York, NY) 214 W. 42nd St. Seating Chart   Schedule   Running Time: Part 1: 2 hrs & 40 mins; Part 2: 2 hrs & 35 mins Preview schedule differs. Schedule beginning April 22: Wednesdays: 2:00pm (Part 1) and 7:30pm (Part 2) Thursdays: 7:30pm (Part 1) Fridays: 7:30pm (Part 2) Saturdays: 2:00pm (Part 1) and 7:30pm (Part 2) Sundays: 2:00pm (Part 1) and 7:30pm (Part 2) "
20,,7/26/2018,,,Broadway,Premiere Production,130,"Two hours and 10 minutes, with one ",Open Run,Head Over Heels,Musical, Hudson Theatre,"         Hudson Theatre (Broadway) (New York, NY) 141 W. 44th St. Seating Chart   Schedule   Running Time: Two hours and 10 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
21,,,,,Broadway,Original Production Production,,,Unknown,Heartbreak Hotel,Musical,,
22,3/4/2018,1/11/2018,,,Broadway,Premiere Production,,,Limited Run,John Lithgow: Stories By Heart,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
23,,11/8/2018,,,Broadway,Premiere Production,,,Open Run,King Kong,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information. Beginning 11/13: Tuesdays: 7:00PM Wednesdays: 2:00PM & 8:00PM Thursdays: 7:00PM Fridays: 8:00PM Saturdays: 2:00PM & 8:00PM Sundays: 3:00PM "
24,5/13/2018,3/26/2018,,1,Broadway,Production Production,145,"Two hours and 25 minutes, with one ",Limited Run,Lobby Hero,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
25,,4/8/2018,,1,Broadway,Original Production Production,150,"Two hours and 30 minutes, with one ",Open Run,Mean Girls,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Before Tuesday, Sept. 25: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm Beginning Tuesday, Sept. 25: Tuesdays: 7:00pm Wednesdays: 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm and 7:30pm "
26,,,,,Broadway,Original Production Production,,,Open Run,Monsoon Wedding,Musical,,
